Name,AC,HP,STR,DEX,CON,INT,WIS,CHA
Aarakocra,12,13,10,14,10,11,12,11
Aboleth,17,135,21,9,15,18,15,18
Albino Dwarf Warrior,13,30,13,13,17,12,14,11
Aldani (Lobsterfolk),14,49,13,8,12,10,14,10
Allip,13,40,6,17,10,17,15,16
Almiraj,13,3,2,16,10,2,14,10
Ambush Drake,13,22,13,15,14,4,11,6
"Angel-Deva",17,136,18,18,18,17,20,20
"Angel-Planetar",19,200,24,20,24,19,22,25
"Angel-Solar",21,243,26,22,26,25,25,30
"Animated Object-Armor",18,33,14,11,13,1,3,1
"Animated Object-Broom of Attack",15,17,10,17,10,1,5,1
"Animated Object-Flying Sword",17,17,12,15,11,1,5,1
"Animated Object-Rug of Smothering",12,33,17,14,10,1,3,1
"Animated Object-Table",15,39,18,8,13,1,3,1
Ankheg,14,39,17,11,13,1,13,6
Assassin Vine,13,85,18,10,16,1,10,1
"Assorted Beast-Aurochs",11,38,20,10,19,2,12,5
"Assorted Beast-Cattle",10,15,18,10,14,2,10,4
"Assorted Beast-Dolphin",12,11,14,13,13,6,12,7
"Assorted Beast-Swarm of Rot Grubs",8,22,2,7,10,1,2,1
Astral Dreadnought,20,297,28,7,25,5,14,18
Atropal,7,225,19,5,22,25,19,24
Awakened Zurkhwood,13,59,19,6,15,10,10,7
Azer,17,39,17,12,15,12,13,10
Baba Lysaga's Creeping Hut,16,263,26,7,20,1,3,3
Balhannoth,17,114,17,8,18,6,15,8
Banderhobb,15,84,20,12,20,11,14,8
Banshee,12,58,1,14,10,12,11,17
Barghest,17,90,19,15,14,13,12,14
Basilisk,15,52,16,8,15,2,8,7
Behir,17,168,23,16,18,7,16,12
Beholder,18,180,10,14,18,17,15,17
"Beholder-Death Kiss",16,161,18,14,18,10,12,10
"Beholder-Death Tyrant",19,187,10,14,14,19,15,19
"Beholder-Gauth",15,67,10,14,16,15,15,13
"Beholder-Gazer",13,13,3,17,14,3,10,7
"Beholder-Spectator",14,39,8,14,14,13,14,11
Berbalang,14,38,9,16,9,17,11,10
Black Earth Guard,18,39,17,11,14,10,10,9
Black Earth Priest,17,45,15,11,14,12,10,16
"Black Earth-Burrowshark",18,82,18,12,16,10,11,13
"Black Earth-Sacred Stone Monk",14,22,13,15,12,10,14,9
"Black Earth-Stonemelder",17,75,15,10,16,12,11,17
"Blight-Needle",12,11,12,12,13,4,8,3
"Blight-Tree",15,149,23,10,20,6,10,3
"Blight-Twig",13,4,6,13,12,4,8,3
"Blight-Vine",12,26,15,8,14,5,10,3
Bodak,15,58,15,16,15,7,12,12
Boggle,14,18,8,18,13,6,12,7
Boneclaw,16,127,19,16,15,13,15,9
Bugbear,16,27,15,14,13,8,11,9
Bugbear Chief,17,65,17,14,14,11,12,11
Bulette,17,94,19,11,21,2,10,5
Bullywug,15,11,12,12,13,7,10,7
Cadaver Collector,17,189,21,14,20,5,11,8
Cambion,19,82,18,18,16,14,12,16
Carrion Crawler,13,51,14,13,16,1,12,5
Catoblepas,14,84,19,12,21,3,4,8
Cave Fisher,16,58,16,13,14,3,10,3
Centaur,12,45,18,14,14,9,13,11
Centaur Mummy,13,85,20,12,16,5,14,12
Chimera,14,114,19,11,19,3,14,10
Chitine,14,18,10,14,12,10,10,7
"Chitine-Choldrith",15,66,12,16,12,11,14,10
Choker,16,13,16,14,13,4,12,7
Chuul,16,93,19,10,16,5,11,5
Chwinga,15,5,1,20,10,14,16,16
Cloaker,14,78,17,15,12,13,12,14
"Clockwork-Bronze Scout",13,18,10,16,11,3,14,1
"Clockwork-Iron Cobra",13,45,12,16,14,3,10,1
"Clockwork-Oaken Bolter",16,58,12,18,15,3,10,1
"Clockwork-Stone Defender",16,52,19,10,17,3,10,1
Cockatrice,11,27,6,12,12,2,13,5
Corpse Flower,12,127,14,14,16,7,15,3
Couatl,19,97,16,20,17,18,20,18
Crag Cat,13,34,16,17,16,4,14,8
Cranium Rat,12,2,2,14,10,4,11,8
"Cranium Rat-Swarm",12,36,9,14,10,15,11,14
Crawling Claw,12,2,13,14,11,5,10,4
Crushing Wave Priest,13,52,15,11,14,10,11,16
Crushing Wave Reaver,14,22,15,14,13,10,11,8
"Crushing Wave-Dark Tide Knight",13,58,17,16,14,10,11,11
"Crushing Wave-Fathomer",10,52,14,11,14,11,11,15
"Crushing Wave-One-Eyed Shiver",12,49,10,14,12,13,13,17
Cyclops,14,138,22,11,20,8,6,10
Darkling,14,13,9,16,12,10,12,10
Darkling Elder,15,27,13,17,12,10,14,13
Darkmantle,11,22,16,12,13,2,10,5
Death Knight,20,180,20,11,20,12,16,18
Deathlock,12,36,11,15,10,14,12,16
Deathlock Mastermind,13,110,11,16,12,15,12,17
Deathlock Wight,12,37,11,14,16,12,14,16
Decapus,14,75,15,14,14,4,10,7
Deep Scion,11,67,18,13,16,10,12,14
Demilich,20,80,1,20,10,20,17,20
"Demon Lord-Baphomet",22,275,30,14,26,18,24,16
"Demon Lord-Demogorgon",22,406,29,14,26,20,17,25
"Demon Lord-Fraz-Urb'Luu",18,337,29,12,25,26,24,26
"Demon Lord-Graz'Zt",20,346,22,15,21,23,21,26
"Demon Lord-Juiblex",18,350,24,10,23,20,20,16
"Demon Lord-Orcus",20,405,27,14,25,20,20,25
"Demon Lord-Yeenoghu",20,333,29,16,23,15,24,15
"Demon Lord-Zuggtmoy",18,304,22,15,18,20,19,24
"Demon-Abyssal Wretch",11,18,9,12,11,5,8,5
"Demon-Alkilith",17,157,12,19,22,6,11,7
"Demon-Armanite",16,84,21,18,21,8,12,13
"Demon-Babau",16,82,19,16,16,11,12,13
"Demon-Balor",19,262,26,15,22,20,16,22
"Demon-Barlgura",15,68,18,15,16,7,14,9
"Demon-Bulezau",14,52,15,14,17,8,9,6
"Demon-Chasme",15,84,15,15,12,11,14,10
"Demon-Draegloth",15,123,20,15,18,13,11,11
"Demon-Dretch",11,18,11,11,12,5,8,3
"Demon-Dybbuk",14,37,6,19,16,16,15,14
"Demon-Glabrezu",17,157,20,15,21,19,17,16
"Demon-Goristro",19,310,25,11,25,6,13,14
"Demon-Hezrou",16,136,19,17,20,5,12,13
"Demon-Manes",9,9,10,9,13,3,8,4
"Demon-Marilith",18,189,18,20,20,18,16,20
"Demon-Maurezhi",15,88,14,17,12,11,12,15
"Demon-Maw",13,33,14,8,13,5,8,5
"Demon-Molydeus",19,216,28,22,25,21,24,24
"Demon-Nabassu",18,190,22,14,21,14,15,17
"Demon-Nalfeshnee",18,184,21,10,22,19,12,15
"Demon-Quasit",13,7,5,17,10,7,10,10
"Demon-Rutterkin",12,37,14,15,17,5,12,6
"Demon-Shadow",13,66,1,17,12,14,13,14
"Demon-Shoosuva",14,110,18,13,17,7,14,9
"Demon-Sibriex",19,150,10,3,23,25,24,25
"Demon-Vrock",15,104,17,15,18,8,13,8
"Demon-Wastrilith",18,157,19,18,21,19,12,14
"Demon-Yochlol",15,136,15,14,18,13,15,15
Derro,13,13,10,14,12,11,5,9
Derro Savant,13,36,9,14,12,11,5,14
"Devil-Abishai-Black",15,58,14,17,14,13,16,11
"Devil-Abishai-Blue",19,195,15,14,17,22,23,18
"Devil-Abishai-Green",18,187,12,17,16,17,12,19
"Devil-Abishai-Red",22,255,23,16,19,14,15,19
"Devil-Abishai-White",15,68,16,11,18,11,12,13
"Devil-Amnizu",21,202,11,13,16,20,12,18
"Devil-Arch-Bael",18,189,24,17,20,21,24,24
"Devil-Arch-Geryon",19,300,29,17,22,19,16,23
"Devil-Arch-Hutijin",19,200,27,15,25,23,19,25
"Devil-Arch-Moloch",19,253,26,19,22,21,18,23
"Devil-Arch-Titivilus",20,127,19,22,17,24,22,26
"Devil-Arch-Zariel",21,580,27,24,28,26,27,30
"Devil-Barbed",15,110,16,17,18,12,14,14
"Devil-Bearded",13,52,16,15,15,9,11,11
"Devil-Bone",19,142,18,16,18,13,14,16
"Devil-Chain",16,85,18,15,18,11,12,14
"Devil-Erinyes",18,153,18,16,18,14,14,18
"Devil-Hellfire Engine",18,216,20,16,24,2,10,1
"Devil-Horned",18,178,22,17,21,12,16,17
"Devil-Ice",18,180,21,14,18,18,15,18
"Devil-Imp",13,10,6,17,13,11,12,14
"Devil-Lemure",7,13,10,5,11,1,11,3
"Devil-Merregon",16,45,18,14,17,6,12,8
"Devil-Narzugon",20,112,20,10,17,16,14,19
"Devil-Nupperibo",13,11,16,11,13,3,8,1
"Devil-Orthon",17,105,22,16,21,15,15,16
"Devil-Pit Fiend",19,300,26,14,24,22,18,24
"Devil-Spined",15,22,10,15,12,11,14,8
Devourer,16,178,20,12,20,13,10,16
"Dinosaur-Allosaurus",13,51,19,13,17,2,12,5
"Dinosaur-Ankylosaurus",15,68,19,11,15,2,12,5
"Dinosaur-Brontosaurus",15,121,21,9,17,2,10,7
"Dinosaur-Deinonychus",13,26,15,15,14,4,12,6
"Dinosaur-Dimetrodon",12,19,14,10,15,2,10,5
"Dinosaur-Hadrosaurus",11,19,15,10,13,2,10,5
